OBJECTID,GEOID,ALAND,AWATER,NAME,State,County,B15002_001E,B15002_001M,B15002_002E,B15002_002M,B15002_003E,B15002_003M,B15002_004E,B15002_004M,B15002_005E,B15002_005M,B15002_006E,B15002_006M,B15002_007E,B15002_007M,B15002_008E,B15002_008M,B15002_009E,B15002_009M,B15002_010E,B15002_010M,B15002_011E,B15002_011M,B15002_012E,B15002_012M,B15002_013E,B15002_013M,B15002_014E,B15002_014M,B15002_015E,B15002_015M,B15002_016E,B15002_016M,B15002_017E,B15002_017M,B15002_018E,B15002_018M,B15002_019E,B15002_019M,B15002_020E,B15002_020M,B15002_021E,B15002_021M,B15002_022E,B15002_022M,B15002_023E,B15002_023M,B15002_024E,B15002_024M,B15002_025E,B15002_025M,B15002_026E,B15002_026M,B15002_027E,B15002_027M,B15002_028E,B15002_028M,B15002_029E,B15002_029M,B15002_030E,B15002_030M,B15002_031E,B15002_031M,B15002_032E,B15002_032M,B15002_033E,B15002_033M,B15002_034E,B15002_034M,B15002_035E,B15002_035M,B15002_calc_numLTHSE,B15002_calc_numLTHSM,B15002_calc_pctLTHSE,B15002_calc_pctLTHSM,B15002_calc_numHSE,B15002_calc_numHSM,B15002_calc_pctHSE,B15002_calc_pctHSM,B15002_calc_numSomeCollE,B15002_calc_numSomeCollM,B15002_calc_pctSomeCollE,B15002_calc_pctSomeCollM,B15002_calc_numAAE,B15002_calc_numAAM,B15002_calc_pctAAE,B15002_calc_pctAAM,B15002_calc_numGEBAE,B15002_calc_numGEBAM,B15002_calc_pctGEBAE,B15002_calc_pctGEBAM,Shape__Area,Shape__Length,Shape__Area_2,Shape__Length_2
43,04013319910,6672126,0,Census Tract 3199.10,Arizona,Maricopa County,3638,248,1662,138,8,13,0,17,0,17,0,17,0,17,0,17,38,40,30,32,136,70,67,41,196,98,67,47,648,155,276,102,95,48,101,51,1976,166,0,17,0,17,22,35,0,17,0,17,0,17,34,43,68,51,84,51,55,43,377,156,95,66,603,186,425,132,126,59,87,47,192,104,5.3,2.83598436860995,220,87,6,2.35562458017731,695,194,19.1,5.17113532555652,162,81,4.5,2.20570768290019,2361,312,64.9,7.34695641542459,9585795.57897668,13806.0150992353,9406018.94140625,14803.6180955024
44,04013320001,3040820,0,Census Tract 3200.01,Arizona,Maricopa County,5449,448,2354,313,0,17,0,17,41,67,0,17,27,44,0,17,0,17,56,55,346,197,150,107,565,188,131,82,727,216,228,119,33,52,50,46,3095,349,0,17,0,17,40,46,32,49,0,17,16,26,0,17,25,28,435,158,167,86,766,209,267,138,840,232,458,176,0,17,49,56,237,132,4.3,2.39592388116104,781,253,14.3,4.49102488398461,1648,313,30.2,5.17807587810488,398,161,7.3,2.89300086168539,2385,392,43.8,6.22924405555068,4370047.31614271,10569.928641034,4317815.35546875,10474.883391403
45,04013320002,2081955,0,Census Tract 3200.02,Arizona,Maricopa County,3958,377,1958,298,71,74,10,17,38,32,248,179,252,135,21,24,196,123,56,55,741,152,138,107,123,80,0,17,38,42,26,31,0,17,0,17,2000,220,23,26,16,27,17,21,174,93,121,93,82,75,153,106,121,96,732,188,50,37,362,151,81,75,58,55,10,15,0,17,0,17,1505,339,38,7.7614761561565,1473,242,37.2,4.98174450620086,673,205,17,4.91964886907237,81,77,2,1.93563661978193,132,84,3.3,2.09837577189953,2992808.58671042,8154.57994793947,13488.59765625,3935.56226583356
46,04013320007,2061508,0,Census Tract 3200.07,Arizona,Maricopa County,4837,607,2580,477,16,41,0,17,0,17,0,17,0,17,0,17,0,17,127,133,518,287,147,118,656,348,171,115,647,264,243,130,16,28,39,44,2257,448,38,56,0,17,7,18,19,29,0,17,27,35,31,40,0,17,651,207,50,52,305,170,96,76,624,227,392,194,0,17,17,26,211,156,4.4,3.17834214435463,1169,354,24.2,6.66059429674555,1158,408,23.9,7.88181459305802,267,138,5.5,2.76763725828183,1978,424,40.9,7.10662259197432,2963759.1080503,7231.55473953222,2928293,7214.47118614718
47,04013320100,4891538,92933,Census Tract 3201,Arizona,Maricopa County,1930,247,1196,215,0,12,0,12,0,12,0,12,0,12,0,12,13,20,0,12,162,98,59,64,130,60,82,82,534,162,191,68,9,15,16,19,734,146,0,12,0,12,0,12,14,22,0,12,0,12,0,12,0,12,101,67,34,24,123,69,67,40,263,108,94,42,17,19,21,20,27,51,1.4,2.63641481107074,263,119,13.6,5.91402651223477,346,114,17.9,5.44293259803098,149,91,7.7,4.61034411824786,1145,214,59.3,8.08076259421506,7177664.79016395,12235.006798033,6822216.16796875,12680.0668437911
48,04013421201,4121625,572902,Census Tract 4212.01,Arizona,Maricopa County,3383,346,2041,392,11,20,0,12,0,12,55,63,0,12,0,12,0,12,28,28,437,182,152,102,576,325,78,83,585,197,93,83,0,12,26,42,1342,272,0,12,0,12,0,12,22,34,0,12,0,12,11,22,38,32,253,133,27,32,278,140,405,175,183,124,67,53,58,53,0,12,154,93,4.6,2.7093272050475,690,225,20.4,6.31529552608182,1033,370,30.5,10.4816818455794,483,194,14.3,5.54552710115474,1012,262,29.9,7.11465243045929,6758713.51622207,12705.8697491954,466436.98046875,5023.57241534557
49,04013422211,2561850,0,Census Tract 4222.11,Arizona,Maricopa County,1934,203,901,100,45,56,0,12,0,12,0,12,0,12,0,12,23,36,18,21,223,77,33,27,133,52,72,52,181,69,109,63,26,25,38,26,1033,143,35,49,0,12,0,12,30,37,0,12,40,46,0,12,0,12,159,74,59,42,178,78,83,43,283,115,138,54,28,31,0,12,111,82,5.7,4.19690092916688,382,107,19.8,5.12943695400764,403,106,20.8,5.0255432803833,155,67,8,3.36063436678826,803,165,41.5,7.33444112324349,3680624.02034746,7670.69597611948,1492.61328125,905.677069359154
50,04013422213,1321288,7721,Census Tract 4222.13,Arizona,Maricopa County,1868,107,964,87,11,12,0,12,0,12,0,12,13,15,16,24,44,42,17,19,225,66,99,52,142,41,67,33,265,65,46,22,0,12,19,16,904,99,14,15,0,12,4,7,0,12,0,12,6,9,0,12,15,12,279,86,78,43,109,42,104,51,175,55,94,37,17,15,9,13,115,65,6.2,3.46174272345797,504,108,27,5.57119761450097,428,89,22.9,4.58012747162898,171,61,9.2,3.22315094077189,625,99,33.5,4.9411271207302,1910184.33196345,5885.82819132225,12081.734375,841.636121959963
51,04013810000,2781571,0,Census Tract 8100,Arizona,Maricopa County,1800,203,842,131,5,9,0,12,0,12,0,12,0,12,0,12,0,12,0,12,77,40,11,13,86,63,51,35,376,112,154,51,13,16,69,54,958,108,5,10,6,8,0,12,0,12,0,12,0,12,0,12,14,16,88,49,43,26,181,77,114,61,359,97,104,48,19,23,25,22,20,45,1.1,2.49685757388088,165,63,9.2,3.34383989116765,321,104,17.8,5.41643570178685,165,70,9.2,3.74896279094465,1119,176,62.2,6.81546459198456,3995117.00721656,10213.6297068781,3754641.96484375,13585.5299864299
52,04013810100,5126669,0,Census Tract 8101,Arizona,Maricopa County,4915,213,2494,186,0,17,0,17,0,17,0,17,0,17,0,17,37,41,15,24,84,58,54,47,417,129,86,63,937,248,462,147,262,94,140,74,2421,171,5,11,0,17,0,17,5,11,0,17,0,17,0,17,25,38,267,95,133,78,219,83,177,90,953,182,358,109,180,84,99,71,82,82,1.7,1.66679476854624,351,111,7.1,2.2370866054244,823,178,16.7,3.54812124313654,263,110,5.4,2.22600065812082,3391,393,69,7.41587863968145,7363358.18498309,15286.7100449803,7351390.4140625,15284.0488029127
53,04013810200,1297885,0,Census Tract 8102,Arizona,Maricopa County,2458,171,1149,116,0,12,0,12,0,12,0,12,0,12,0,12,34,32,20,28,76,42,88,86,146,79,144,79,371,89,183,71,37,28,50,32,1309,121,0,12,0,12,0,12,0,12,0,12,0,12,13,21,13,21,115,63,88,39,227,73,138,69,424,99,222,84,27,30,42,31,80,64,3.3,2.59387917746495,191,76,7.8,3.04432051124637,549,143,22.3,5.60639585256469,282,105,11.5,4.19653993483645,1356,183,55.2,6.37964018594276,1863897.47989666,5800.21465533044,2740.1015625,3871.82464119337
54,04013810300,2593011,0,Census Tract 8103,Arizona,Maricopa County,4325,391,1995,331,21,33,27,41,0,17,38,58,0,17,0,17,5,11,32,43,195,112,92,64,411,153,263,140,596,171,211,99,39,40,65,56,2330,247,0,17,43,69,0,17,7,13,0,17,34,54,25,36,0,17,438,142,145,75,391,156,196,106,661,164,264,102,101,81,25,27,211,134,4.9,3.06671276933779,633,181,14.6,3.97029771196377,1039,240,24,5.10648173877099,459,176,10.6,3.95464310871838,1962,297,45.4,5.50791577171641,3724148.89725357,7859.49050724504,5089.41015625,1872.77076999481
55,04013810400,5401705,0,Census Tract 8104,Arizona,Maricopa County,3415,143,1660,137,0,12,10,16,22,35,0,12,39,42,0,12,0,12,26,24,202,97,64,33,408,138,125,61,462,114,170,78,34,38,98,61,1755,145,15,24,30,44,0,12,6,9,0,12,64,63,0,12,9,14,258,97,139,80,184,73,175,65,578,116,206,72,56,41,35,31,206,104,6,3.03489450479814,460,137,13.5,3.97186311252455,795,178,23.3,5.12033155687902,300,89,8.8,2.58005766949971,1639,213,48,5.90453955636528,7755927.92968137,13657.8644979748,56524.79296875,6348.22305577055
56,04013810500,2915985,16246,Census Tract 8105,Arizona,Maricopa County,3656,250,1710,178,0,12,0,12,0,12,24,42,1,3,0,12,2,3,0,12,215,111,189,144,235,87,48,47,464,151,338,167,111,108,83,68,1946,173,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,22,110,72,184,113,216,103,112,81,767,203,368,155,84,72,92,100,40,61,1.1,1.66681196725616,325,132,8.9,3.55896438997566,824,227,22.5,6.01465508182315,160,94,4.4,2.553640780863,2307,384,63.1,9.5760216812251,4210013.98706464,8736.15501457857,1688.61328125,4821.33890099825
57,04013810600,3561800,0,Census Tract 8106,Arizona,Maricopa County,4386,260,2154,172,0,17,0,17,0,17,0,17,0,17,0,17,0,17,12,20,288,132,119,115,282,126,172,115,663,161,530,138,62,53,26,29,2232,172,0,17,0,17,0,17,0,17,0,17,0,17,38,55,11,18,314,97,106,75,302,114,173,104,581,152,565,128,37,39,105,73,61,83,1.4,1.89058806553631,602,164,13.7,3.64957285071877,809,218,18.4,4.8486004986949,345,155,7.9,3.50307446771252,2569,308,58.6,6.10388332935913,5114143.67047105,9690.17854014554,1462.26171875,3780.29115382747
58,04013941300,212589767,7594948,Census Tract 9413,Arizona,Maricopa County,5165,404,2518,273,0,17,0,17,35,35,115,61,34,38,155,108,344,148,40,44,1004,167,100,55,363,176,142,79,112,69,35,41,12,19,27,29,2647,264,0,17,0,17,8,19,142,88,69,49,208,87,185,102,44,33,780,189,248,106,427,123,171,120,280,115,71,58,14,22,0,17,1379,268,26.7,4.74995792783794,1784,252,34.5,4.0626893065725,1138,246,22,4.44009609912087,313,144,6.1,2.74740595226412,551,158,10.7,2.94304498260385,317620766.498689,95000.7528741539,400.87109375,975.357500204687
